model,threshold,accuracy,precision,recall,f1,roc_auc,average_precision
XGBoost - tuned F1 threshold,0.41,0.8898242055442867,0.8912709543845588,0.8910924145299145,0.8911816755150422,0.9572619669970993,0.9644669567316941
Random Forest,0.5,0.7922920892494929,0.8075208913649025,0.7743055555555556,0.7905644941368967,0.8722674644262374,0.8788154030599797
CatBoost,0.5,0.7771467207572684,0.8433251433251433,0.6875667735042735,0.7575222541013757,0.8579003361463433,0.8816420354915437
Decision Tree,0.5,0.7288708586883029,0.7327355460385439,0.7311698717948718,0.731951871657754,0.7288415779133218,0.6718596319299754
